tweet_id,created,retweet,favorite,text,year,month,weekday,hour,rating_numerator,name,category,jpg_url,breed,confidence_score
891815181378084864,2017-07-31 00:18:03+00:00,4008,24347,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,2017,7,Monday,0,12,Archie,nan,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.72
890006608113172480,2017-07-26 00:31:25+00:00,7078,29808,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,2017,7,Wednesday,0,13,Koda,nan,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.96
889665388333682689,2017-07-25 01:55:32+00:00,9692,46727,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,2017,7,Tuesday,1,13,,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.97
889638837579907072,2017-07-25 00:10:02+00:00,4377,26344,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,2017,7,Tuesday,0,12,Ted,nan,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99
889531135344209921,2017-07-24 17:02:04+00:00,2173,14689,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,2017,7,Monday,17,13,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.95
889278841981685760,2017-07-24 00:19:32+00:00,5197,24538,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,2017,7,Monday,0,13,Oliver,nan,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.63
888917238123831296,2017-07-23 00:22:39+00:00,4347,28300,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,2017,7,Sunday,0,12,Jim,nan,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,0.71
888554962724278272,2017-07-22 00:23:06+00:00,3412,19263,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,2017,7,Saturday,0,13,Ralphus,nan,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,0.7
888078434458587136,2017-07-20 16:49:33+00:00,3363,21141,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,2017,7,Thursday,16,12,Gerald,nan,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,1.0
887705289381826560,2017-07-19 16:06:48+00:00,5189,29351,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,2017,7,Wednesday,16,13,Jeffrey,nan,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.82
